feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.8345551378446115,0.007664526310515122,0.45490013032845705,0.0022856456965896035,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.7136278195488722,0.04319458621679878,0.49721409623548596,0.07013478774100813,0.49818480830506734,0.07225758386297093,0.16,0.107496769977314,0.17555555555555555,0.12090196007764838
ngrams_only,logistic_regression,1149,0.7879699248120301,0.04802172769815774,0.6776529120091312,0.06489669470322976,0.8269950662966389,0.07840571794083878,0.41530719280719275,0.10817515447700525,0.6111111111111112,0.11874977438430664
ngrams_only,random_forest,1149,0.7099310776942357,0.05118247199464737,0.6227753559078788,0.04846794781553592,0.7808880666049953,0.0642079469837239,0.32909565095020743,0.05907946780626437,0.6888888888888889,0.09177416069158419
ngrams_only,xgboost,1149,0.6598684210526315,0.06752753963284551,0.601114387136389,0.07023770200278233,0.7863559975331483,0.08920400413527377,0.30960907483321276,0.07141460575559803,0.8255555555555555,0.11944659774114187
semantic_only,logistic_regression,24,0.6016290726817043,0.05194777644352555,0.49528819394700807,0.051674893132913804,0.5681023229519991,0.11502441837927352,0.19132101086048453,0.05332549767179788,0.44333333333333336,0.16567192860792504
semantic_only,random_forest,24,0.5410087719298246,0.05412227725998572,0.48114141054428466,0.0482017319321425,0.5734199301058691,0.09333809117786,0.20585181893270127,0.04152481179861357,0.6288888888888888,0.18556997060885025
semantic_only,xgboost,24,0.3078947368421052,0.056565874080534095,0.30533794328453573,0.054886118350871704,0.5455845924555452,0.08076046880784561,0.1700578622443983,0.02245880723661263,0.8177777777777779,0.1010507213498368
morph_only,logistic_regression,12,0.5519423558897244,0.0841197402427576,0.5031859996791931,0.07494803451790884,0.6475829992805016,0.09466727943226223,0.2337805699202758,0.05564142046668776,0.7388888888888889,0.1684472783891382
morph_only,random_forest,12,0.5536654135338346,0.07925577405706827,0.5078804695433916,0.07160796375111493,0.6339711172782403,0.09725335151764967,0.23857517751066135,0.05260519747741237,0.7622222222222222,0.15513169766813995
morph_only,xgboost,12,0.5554511278195489,0.08294507787881904,0.5143459614111482,0.0791290093825117,0.6464662349676227,0.1058562469089913,0.24635191673567647,0.05965602978731596,0.8055555555555556,0.1708728499914411
phon_only,logistic_regression,157,0.7312656641604011,0.041742837142364604,0.66973920738554,0.04591107366236816,0.8432829684448556,0.05178852031007774,0.37361010728402033,0.051955461004505814,0.9022222222222223,0.08178395038432903
phon_only,random_forest,157,0.7205827067669173,0.05657004776008675,0.6557398174742636,0.05793844322762408,0.8108174015828965,0.07450623489014394,0.3612871227001662,0.06279736688785346,0.8588888888888888,0.09296960283207871
phon_only,xgboost,157,0.6598684210526315,0.12557243549201286,0.611184115579145,0.10982308900997105,0.8173797409805734,0.06618632110783952,0.33364108627236344,0.08998044600570543,0.9022222222222223,0.08178395038432903
morph_phon,logistic_regression,169,0.8130325814536341,0.05548067830484246,0.7151251775425423,0.07912982716846703,0.851351629149964,0.04314770471810749,0.4641402714932127,0.12166193845565397,0.6833333333333333,0.14844876906541543
morph_phon,random_forest,169,0.7828320802005012,0.03762727107117538,0.6874330553979817,0.05742216144581241,0.8385831020659882,0.054915842399344654,0.409407464740282,0.07124807294323648,0.7155555555555556,0.17102932148197386
morph_phon,xgboost,169,0.7792293233082707,0.04268298960794065,0.6958888472655427,0.05562828280106485,0.841518655565834,0.06199233551268511,0.4139060887512899,0.07674304839472722,0.7711111111111111,0.10091488216845275
all_features,logistic_regression,193,0.8184523809523808,0.03454246312438026,0.6882519803772801,0.048570984211203094,0.8306418953643746,0.05943742738814808,0.4687057387057386,0.09618109064831373,0.5255555555555554,0.12194694027086787
all_features,random_forest,193,0.7917606516290727,0.03575092349979552,0.6833071966712831,0.053429196095393525,0.8200118203309692,0.06647604980128177,0.41710004177109444,0.06988719573669173,0.6411111111111111,0.16169964875050183
all_features,xgboost,193,0.7720551378446114,0.06774860741982323,0.6817364428695237,0.07483940259968497,0.8162714564703464,0.0856841290166461,0.40832711574332253,0.10579202788123263,0.7077777777777777,0.10862022790191991
