domain,level,task,model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_samples,n_features
macro_has_suffix,macro,has_suffix,majority_class,0.8197187330673366,0.002160855579537683,0.6945164506480558,0.003097135258627312,1185,2061
macro_has_suffix,macro,has_suffix,random,0.7121138211382114,0.03949618883637623,0.6009115510611023,0.054253166208116516,1185,2061
macro_has_suffix,macro,has_suffix,ngram_only,0.865710266207017,0.029498445930476385,0.7999287850733514,0.04537197808554596,1185,2019
macro_has_mutation,macro,has_mutation,majority_class,0.0,0.0,0.5257370744908133,0.003086199269846031,1185,2061
macro_has_mutation,macro,has_mutation,random,0.4492726285403984,0.037164445426085144,0.49953710297678383,0.03272797899426937,1185,2061
macro_has_mutation,macro,has_mutation,ngram_only,0.7393536309307214,0.03304175918513999,0.7527132887053126,0.03178452655451535,1185,2019
macro_3way,macro,3way,majority_class,0.22971777557412915,0.0008842719803779232,0.5257370744908133,0.003086199269846031,1185,2061
macro_3way,macro,3way,random,0.299484850981102,0.04709488994155529,0.3857142857142858,0.04121113724573858,1185,2061
macro_3way,macro,3way,ngram_only,0.6079809100720414,0.052394707286351046,0.6885272753169064,0.05209767697091945,1185,2019
micro_medial_a,micro,medial_a,majority_class,0.0,0.0,0.8345551378446115,0.007664526310515122,562,1191
micro_medial_a,micro,medial_a,random,0.16736842105263156,0.11382707073185304,0.7136278195488722,0.04319458621679878,562,1191
micro_medial_a,micro,medial_a,ngram_only,0.3107825507825508,0.13717839920163669,0.8575814536340852,0.021057769459643966,562,1149
micro_final_a,micro,final_a,majority_class,0.0,0.0,0.8736842105263157,0.0049793527385749645,562,1191
micro_final_a,micro,final_a,random,0.1,0.11486707293408518,0.7420426065162908,0.03438708782193309,562,1191
micro_final_a,micro,final_a,ngram_only,0.025,0.07905694150420949,0.8736842105263157,0.009780369711809954,562,1149
micro_final_vw,micro,final_vw,majority_class,0.0,0.0,0.9519736842105262,0.00850435528973848,562,1191
micro_final_vw,micro,final_vw,random,0.0,0.0,0.8932330827067668,0.0007925507920221326,562,1191
micro_final_vw,micro,final_vw,ngram_only,0.0,0.0,0.9501879699248119,0.011234599672331529,562,1149
micro_ablaut,micro,ablaut,majority_class,0.0,0.0,0.5195488721804512,0.0035664785640996434,562,1191
micro_ablaut,micro,ablaut,random,0.4333333333333333,0.10769791845710809,0.45588972431077696,0.10098554073215693,562,1191
micro_ablaut,micro,ablaut,ngram_only,0.7321002526917673,0.04491739975651701,0.7419799498746867,0.04617175246315536,562,1149
micro_insert_c,micro,insert_c,majority_class,0.0,0.0,0.9323934837092732,0.007414810487300578,562,1191
micro_insert_c,micro,insert_c,random,0.02,0.06324555320336758,0.8291979949874687,0.012152983883403749,562,1191
micro_insert_c,micro,insert_c,ngram_only,0.03333333333333333,0.10540925533894596,0.9288220551378448,0.008434503535890574,562,1149
micro_templatic,micro,templatic,majority_class,0.0,0.0,0.8185463659147869,0.00607622273883649,562,1191
micro_templatic,micro,templatic,random,0.3116883116883116,0.07850776628418725,0.7402882205513784,0.030743284274052894,562,1191
micro_templatic,micro,templatic,ngram_only,0.7468658165020394,0.10522226722077124,0.9181077694235589,0.031780776176715146,562,1149
micro_8way,micro,8way,majority_class,0.06774640268311154,0.004899209714499191,0.40213032581453634,0.00844922998643268,562,1191
micro_8way,micro,8way,random,0.10831447618903292,0.034066106944009286,0.24552005012531328,0.04396570153585065,562,1191
micro_8way,micro,8way,ngram_only,0.3596491271576555,0.09261044761299048,0.6016604010025063,0.05360576879403652,562,1149
