domain,best_model,macro_f1,std
macro_has_suffix,ngram_only,0.865710266207017,0.029498445930476385
macro_has_mutation,logistic_regression,0.7518448834744845,0.021152627401965007
macro_3way,xgboost,0.6579195362577245,0.055355442233098094
micro_ablaut,random,0.7538059281411945,0.06717258025789395
micro_templatic,random,0.9000415069293787,0.0551285386900828
micro_medial_a,xgboost,0.5910269613427508,0.07847532795014323
micro_final_a,random,0.40610116199589885,0.10233386515313825
micro_final_vw,random,0.40714285714285714,0.2891003063824314
micro_insert_c,xgboost,0.5526984126984127,0.26711329860438104
micro_8way,logistic_regression,0.46674529416657673,0.06856422377553255
