domain,majority_class,random,ngram_only,logistic_regression,random_forest,xgboost,logistic_regression_delta,random_forest_delta,xgboost_delta
macro_3way,0.22971777557412915,0.6330797416076697,0.6079809100720414,0.6521407854159218,0.6330797416076697,0.6579195362577245,0.04415987534388044,0.025098831535628308,0.04993862618568312
macro_has_mutation,0.0,0.7380421972002351,0.7393536309307214,0.7518448834744845,0.7380421972002351,0.7428730562581229,0.012491252543763154,-0.0013114337304862556,0.0035194253274015708
macro_has_suffix,0.8197187330673366,0.8338725222665951,0.865710266207017,0.8516015283489429,0.8338725222665951,0.8314530116705688,-0.014108737858074094,-0.031837743940421825,-0.03425725453644812
micro_8way,0.06774640268311154,0.45253824257607933,0.3596491271576555,0.46674529416657673,0.45253824257607933,0.4483351731769393,0.10709616700892122,0.09288911541842382,0.08868604601928376
micro_ablaut,0.0,0.7538059281411945,0.7321002526917673,0.7200576627519936,0.7538059281411945,0.7320636101436873,-0.012042589939773696,0.021705675449427253,-3.664254808000145e-05
micro_final_a,0.0,0.40610116199589885,0.025,0.376985236985237,0.40610116199589885,0.3864121980530649,0.351985236985237,0.38110116199589883,0.3614121980530649
micro_final_vw,0.0,0.40714285714285714,0.0,0.36047619047619045,0.40714285714285714,0.30158730158730157,0.36047619047619045,0.40714285714285714,0.30158730158730157
micro_insert_c,0.0,0.5022644022644023,0.03333333333333333,0.48577899224958043,0.5022644022644023,0.5526984126984127,0.4524456589162471,0.46893106893106895,0.5193650793650794
micro_medial_a,0.0,0.5195274417928879,0.3107825507825508,0.5297572362278246,0.5195274417928879,0.5910269613427508,0.21897468544527376,0.2087448910103371,0.2802444105602
micro_templatic,0.0,0.9000415069293787,0.7468658165020394,0.8588349331827594,0.9000415069293787,0.8781291172595521,0.11196911668071996,0.15317569042733925,0.1312633007575127
