Domain,Sem,Morph,Phon,M+P,All,Ngr,LSTM,ΔNgr,ΔLSTM
MACRO-LEVEL,,,,,,,,,
Has Suffix,0.4998408829271223,0.5407816855744046,0.7852612516016214,0.7967012057048832,0.7813373873344902,0.760477289405936,0.735118269286988,0.03622391629894728,0.06158293641789525
Has Mutation,0.5658616749748495,0.5665837248042888,0.7709114873997491,0.7765937080210762,0.7690641876306403,0.7536264254638456,0.3989090519243307,0.022967282557230573,0.3776846560967455
3-way,0.4016329698178565,0.3736859944541327,0.657581499443355,0.6826568779045459,0.665575713242698,0.6142368480750108,0.2375496770988574,0.0684200298295351,0.44510720080568844
MICRO-LEVEL,,,,,,,,,
Medial A,0.495288193947008,0.5031859996791931,0.66973920738554,0.7151251775425423,0.6882519803772801,0.6776529120091312,0.6729211758269519,0.0374722655334111,0.04220400171559047
Final A,0.4636311027632734,0.4760243627996112,0.4574486015773412,0.5926196339648122,0.6167207073251175,0.659954939915669,0.4576562375289327,-0.04323423259055148,0.15906446979618483
Final V/W,0.5219192299491382,0.5499707821725924,0.6779418920751188,0.6453489011979571,0.6714510990731473,0.6085380819882121,0.5193835957748536,0.06940381008690666,0.1585582963002652
Ablaut,0.5818614904147991,0.6586592963003693,0.7748058036738139,0.7606332477845968,0.7480691827949062,0.7394994021067013,0.7357533963470851,0.03530640156711262,0.039052407326728766
Insert C,0.4799606874561276,0.5153026260933116,0.5702049862943284,0.6355809380128116,0.6480115051376434,0.6628225946622134,0.5115551746435665,-0.014811089524569998,0.1364563304940769
Templatic,0.6046235111719678,0.7878496459612703,0.888524039956734,0.9065925835855032,0.9098151001973792,0.8722038430485842,0.8479452054794521,0.037611257148794985,0.06186989471792714
8-way,0.1724304150395837,0.1922980149417738,0.4386554638098408,0.4690040480556332,0.4643122816171895,0.4184554522727403,0.0861082977120713,0.05054859578289295,0.38289575034356194
