Domain,Ceil,IrrErr%,Learn%,Compl,Sev%
MACRO-LEVEL,,,,,
Has Suffix,0.7967012057048832,12.24105461393597,87.75894538606403,0.4206008583690987,3.766478342749529
Has Mutation,0.7765937080210762,8.60759493670886,91.39240506329114,0.5235457063711911,0.0
3-way,0.6826568779045459,17.59493670886076,82.40506329113924,0.46236559139784944,0.0
MICRO-LEVEL,,,,,
Medial A,0.7151251775425423,7.272727272727272,92.72727272727273,0.32352941176470584,2.727272727272727
Final A,0.5926196339648122,7.397260273972603,92.6027397260274,0.2603550295857988,3.287671232876712
Final V/W,0.6453489011979571,2.191780821917808,97.8082191780822,0.20448179271708683,0.547945205479452
Ablaut,0.7606332477845968,10.909090909090908,89.0909090909091,0.520408163265306,2.727272727272727
Insert C,0.6355809380128116,4.931506849315069,95.06849315068493,0.24495677233429394,0.821917808219178
Templatic,0.9065925835855032,0.547945205479452,99.45205479452055,0.024793388429752067,0.273972602739726
8-way,0.4690040480556332,27.671232876712327,72.32876712328768,0.4999999999999999,0.0
